Date,Open,High,Low,Close,Adj Close,Volume
2015-10-09,43025.000000,43875.000000,43000.000000,43425.000000,37627.695313,1523400
2015-10-12,43425.000000,44325.000000,43425.000000,44325.000000,38407.539063,1002200
2015-10-13,44575.000000,44575.000000,42525.000000,43000.000000,37259.433594,1236600
2015-10-15,42500.000000,43200.000000,42500.000000,42975.000000,37237.765625,1061500
2015-10-16,43175.000000,43350.000000,42625.000000,42800.000000,37086.132813,708900
2015-10-19,42800.000000,43600.000000,42700.000000,43450.000000,37649.355469,1249500
2015-10-20,43450.000000,44300.000000,43200.000000,43700.000000,37865.976563,1280000
2015-10-21,44000.000000,46100.000000,44000.000000,45475.000000,39404.015625,2622800
2015-10-22,45550.000000,45600.000000,43775.000000,44000.000000,38125.929688,1244600
2015-10-23,45300.000000,46250.000000,44975.000000,46200.000000,40032.222656,1620600
2015-10-26,46500.000000,46850.000000,45700.000000,46350.000000,40162.203125,1735800
2015-10-27,46350.000000,46350.000000,45200.000000,45900.000000,39772.273438,1480600
2015-10-28,46200.000000,46200.000000,44975.000000,45000.000000,38992.425781,1081500
2015-10-29,44300.000000,44750.000000,42850.000000,42900.000000,37172.777344,1990100
2015-10-30,43000.000000,43900.000000,42300.000000,42950.000000,37216.105469,3202100
2015-11-02,42925.000000,43875.000000,42925.000000,43475.000000,37671.011719,1924800
2015-11-03,43950.000000,45200.000000,43725.000000,44850.000000,38862.453125,1902900
2015-11-04,45500.000000,48400.000000,45300.000000,48250.000000,41808.546875,3401200
2015-11-05,48200.000000,48300.000000,47525.000000,47975.000000,41570.261719,1021900
2015-11-06,48000.000000,48450.000000,47000.000000,48100.000000,41678.566406,841500
2015-11-09,48225.000000,48225.000000,46800.000000,47475.000000,41137.007813,1142700
2015-11-10,47225.000000,47500.000000,46400.000000,46400.000000,40205.523438,1023600
2015-11-11,46500.000000,48400.000000,46250.000000,47000.000000,40725.421875,1507500
2015-11-12,47700.000000,49250.000000,47575.000000,49000.000000,42458.421875,1511000
2015-11-13,48500.000000,49400.000000,47500.000000,47500.000000,41158.667969,670200
2015-11-16,47500.000000,48925.000000,46700.000000,48750.000000,42241.792969,746300
2015-11-17,49100.000000,51500.000000,49000.000000,51175.000000,44343.050781,1742400
2015-11-18,51200.000000,52650.000000,49525.000000,49525.000000,42913.328125,2014400
2015-11-19,50000.000000,50475.000000,49325.000000,49325.000000,42740.027344,605100
2015-11-20,50425.000000,51300.000000,49950.000000,51250.000000,44408.042969,1104000
2015-11-23,50500.000000,51000.000000,49500.000000,49500.000000,42891.671875,475000
2015-11-24,49250.000000,50425.000000,48975.000000,49400.000000,42805.019531,414100
2015-11-25,50200.000000,50925.000000,49775.000000,50400.000000,43671.519531,1247300
2015-11-26,50900.000000,51600.000000,50475.000000,51600.000000,44711.312500,973400
2015-11-27,51200.000000,51600.000000,49800.000000,50000.000000,43324.917969,610500
2015-11-30,50000.000000,50375.000000,48900.000000,48900.000000,42371.765625,2267500
2015-12-01,50000.000000,51000.000000,49500.000000,51000.000000,44191.414063,1527900
2015-12-02,50800.000000,51475.000000,50175.000000,50800.000000,44018.113281,1318800
2015-12-03,50700.000000,52300.000000,50500.000000,51575.000000,44689.656250,1405300
2015-12-04,51000.000000,51725.000000,50575.000000,51300.000000,44451.363281,930700
2015-12-07,51500.000000,52250.000000,50700.000000,50700.000000,43931.464844,524200
2015-12-08,50900.000000,52275.000000,50725.000000,51200.000000,44364.714844,1085100
2015-12-09,51200.000000,51200.000000,51200.000000,51200.000000,44364.714844,0
2015-12-10,52000.000000,52150.000000,51450.000000,52000.000000,45057.914063,915200
2015-12-11,51300.000000,51925.000000,50200.000000,50800.000000,44018.113281,685200
2015-12-14,49850.000000,50000.000000,48275.000000,48500.000000,42025.167969,1311300
2015-12-15,49000.000000,49350.000000,48450.000000,49250.000000,42675.046875,862400
2015-12-16,50000.000000,50900.000000,49450.000000,50900.000000,44104.765625,1329300
2015-12-17,52000.000000,52500.000000,50775.000000,51500.000000,44624.664063,989900
2015-12-18,51500.000000,51950.000000,51025.000000,51800.000000,44884.613281,804400
2015-12-21,51050.000000,52125.000000,51050.000000,51800.000000,44884.613281,691700
2015-12-22,52250.000000,53800.000000,52250.000000,53725.000000,46552.621094,1108900
2015-12-23,53800.000000,54150.000000,53600.000000,54150.000000,46920.882813,641800
2015-12-28,53800.000000,54900.000000,53500.000000,53900.000000,46704.261719,544800
2015-12-29,53900.000000,55000.000000,53900.000000,54575.000000,47289.148438,402200
2015-12-30,54600.000000,55000.000000,53800.000000,55000.000000,47657.410156,828800
2016-01-04,54600.000000,54600.000000,52700.000000,53725.000000,46552.621094,504400
2016-01-05,53000.000000,54100.000000,52550.000000,53400.000000,46271.015625,1735200
2016-01-06,53400.000000,54775.000000,52650.000000,54750.000000,47440.781250,1459800
2016-01-07,54800.000000,54800.000000,53450.000000,54025.000000,46812.574219,1086300
2016-01-08,53025.000000,55475.000000,53025.000000,55100.000000,47744.058594,1565500
2016-01-11,54850.000000,54975.000000,54450.000000,54500.000000,47224.160156,685700
2016-01-12,55000.000000,56300.000000,54500.000000,56000.000000,48523.906250,2144800
2016-01-13,56300.000000,56375.000000,55750.000000,55900.000000,48437.257813,746300
2016-01-14,55200.000000,55900.000000,54050.000000,55800.000000,48350.609375,1188000
2016-01-15,55800.000000,57000.000000,55800.000000,56300.000000,48783.859375,1237700
2016-01-18,55000.000000,55800.000000,54600.000000,55500.000000,48090.660156,840400
2016-01-19,55800.000000,55800.000000,54800.000000,55000.000000,47657.410156,898400
2016-01-20,55000.000000,55600.000000,54950.000000,55500.000000,48090.660156,912500
2016-01-21,55750.000000,55750.000000,55050.000000,55400.000000,48004.007813,1217500
2016-01-22,55000.000000,55375.000000,54925.000000,55250.000000,47874.035156,556600
2016-01-25,55750.000000,55800.000000,54500.000000,54975.000000,47635.746094,1063700
2016-01-26,54975.000000,55950.000000,54625.000000,55875.000000,48415.597656,674800
2016-01-27,55875.000000,58800.000000,55425.000000,58800.000000,50950.105469,2091200
2016-01-28,58800.000000,59000.000000,57000.000000,58000.000000,50256.906250,1531400
2016-01-29,58200.000000,59000.000000,57000.000000,58350.000000,50560.179688,1434100
2016-02-01,58350.000000,58350.000000,56300.000000,58025.000000,50278.570313,1485000
2016-02-02,58025.000000,58075.000000,57725.000000,57900.000000,50170.253906,1331600
2016-02-03,57900.000000,58250.000000,57300.000000,58250.000000,50473.527344,866600
2016-02-04,57500.000000,60200.000000,57500.000000,59900.000000,51903.257813,2007300
2016-02-05,60000.000000,61000.000000,59975.000000,60200.000000,52163.203125,1158200
2016-02-09,60000.000000,60600.000000,58900.000000,60600.000000,52509.796875,549700
2016-02-10,59925.000000,61650.000000,59925.000000,61500.000000,53289.652344,1315700
2016-02-11,61050.000000,61425.000000,60150.000000,61000.000000,52856.398438,1227700
2016-02-12,60600.000000,61050.000000,60175.000000,60700.000000,52596.453125,1062300
2016-02-15,61500.000000,61500.000000,61050.000000,61500.000000,53289.652344,960900
2016-02-16,61250.000000,61750.000000,60950.000000,61500.000000,53289.652344,747300
2016-02-17,61500.000000,63500.000000,61500.000000,63475.000000,55000.984375,1456400
2016-02-18,63475.000000,64500.000000,62700.000000,63500.000000,55022.648438,1634600
2016-02-19,62500.000000,64800.000000,62300.000000,64125.000000,55564.207031,1278000
2016-02-22,64375.000000,65500.000000,64075.000000,65400.000000,56668.992188,861900
2016-02-23,65400.000000,67225.000000,65400.000000,66100.000000,57275.542969,1330000
2016-02-24,66300.000000,66975.000000,64625.000000,65500.000000,56755.644531,697200
2016-02-25,65500.000000,65500.000000,61800.000000,61800.000000,53549.597656,1908100
2016-02-26,62500.000000,63475.000000,62250.000000,63000.000000,54589.398438,1148100
2016-02-29,62850.000000,64500.000000,62600.000000,63700.000000,55195.949219,1599500
2016-03-01,63375.000000,63675.000000,62800.000000,63175.000000,54741.035156,1002300
2016-03-02,63700.000000,65625.000000,63000.000000,64550.000000,55932.464844,1892100
2016-03-03,64550.000000,66200.000000,64550.000000,66000.000000,57188.890625,999300
2016-03-04,66400.000000,66400.000000,65425.000000,66200.000000,57362.191406,557600
2016-03-07,66500.000000,67375.000000,64350.000000,65025.000000,56344.058594,683100
2016-03-08,64800.000000,64950.000000,62625.000000,63150.000000,54719.371094,1443400
2016-03-10,63150.000000,65575.000000,61500.000000,65575.000000,56820.625000,1150500
2016-03-11,65575.000000,65575.000000,65575.000000,65575.000000,56820.625000,0
2016-03-14,65575.000000,65575.000000,65575.000000,65575.000000,56820.625000,0
2016-03-15,65900.000000,66000.000000,65000.000000,65600.000000,56842.292969,455400
2016-03-16,64500.000000,64725.000000,62925.000000,63000.000000,54589.398438,1684800
2016-03-17,63500.000000,64375.000000,61950.000000,62500.000000,54156.148438,1653800
2016-03-18,62500.000000,63400.000000,59875.000000,61000.000000,52856.398438,2856200
2016-03-21,61000.000000,61800.000000,59900.000000,60800.000000,52683.097656,1312500
2016-03-22,60000.000000,61650.000000,59025.000000,59300.000000,51383.355469,1975500
2016-03-23,59500.000000,61150.000000,58750.000000,61150.000000,52986.375000,1461100
2016-03-24,60900.000000,61450.000000,60550.000000,60625.000000,52531.464844,1050900
2016-03-28,60500.000000,60750.000000,59150.000000,59300.000000,51383.355469,769900
2016-03-29,59000.000000,61225.000000,59000.000000,61000.000000,52856.398438,1253600
2016-03-30,61425.000000,62950.000000,60650.000000,62800.000000,54416.097656,1625600
2016-03-31,64200.000000,66500.000000,64000.000000,65300.000000,56582.347656,3581900
2016-04-01,65500.000000,65625.000000,64425.000000,65200.000000,56495.691406,1943900
2016-04-04,65200.000000,67775.000000,65000.000000,65900.000000,57102.246094,1767400
2016-04-05,66525.000000,67400.000000,66350.000000,66575.000000,57687.128906,1502100
2016-04-06,67900.000000,68300.000000,66850.000000,67000.000000,58055.390625,1100700
2016-04-07,67750.000000,68600.000000,66475.000000,67150.000000,58185.363281,1473500
2016-04-08,66800.000000,67350.000000,65225.000000,66000.000000,57188.890625,1307800
2016-04-11,66000.000000,66000.000000,66000.000000,66000.000000,57188.890625,0
2016-04-12,66025.000000,67500.000000,66000.000000,67500.000000,58488.640625,1296800
2016-04-13,67500.000000,67500.000000,67500.000000,67500.000000,58488.640625,0
2016-04-14,67500.000000,67500.000000,67500.000000,67500.000000,58488.640625,0
2016-04-15,67500.000000,67500.000000,67500.000000,67500.000000,58488.640625,0
2016-04-18,67500.000000,67500.000000,67500.000000,67500.000000,58488.640625,0
2016-04-19,67500.000000,67500.000000,67500.000000,67500.000000,58488.640625,0
2016-04-20,66925.000000,66500.000000,65200.000000,65850.000000,57058.917969,1217400
2016-04-21,65850.000000,66025.000000,65400.000000,65500.000000,56755.644531,759800
2016-04-22,65500.000000,68000.000000,65875.000000,67000.000000,58055.390625,4
2016-04-25,66500.000000,68050.000000,66300.000000,68000.000000,58921.886719,1070100
2016-04-26,68000.000000,69200.000000,67625.000000,69200.000000,59961.691406,956200
2016-04-27,69200.000000,70225.000000,69200.000000,70200.000000,60828.187500,1541700
