Date,Open,High,Low,Close,Adj Close,Volume
2015-10-09,4405.000000,4500.000000,4375.000000,4425.000000,3666.480469,940700
2015-10-12,4460.000000,4540.000000,4425.000000,4500.000000,3728.624268,1161100
2015-10-13,4505.000000,4505.000000,4370.000000,4420.000000,3662.337646,600200
2015-10-15,4425.000000,4535.000000,4415.000000,4450.000000,3687.195313,1851800
2015-10-16,4485.000000,4485.000000,4315.000000,4350.000000,3604.336670,2065500
2015-10-19,4360.000000,4360.000000,4250.000000,4290.000000,3554.621826,1656700
2015-10-20,4290.000000,4410.000000,4290.000000,4320.000000,3579.479492,1465800
2015-10-21,4350.000000,4540.000000,4335.000000,4480.000000,3712.052979,898200
2015-10-22,4410.000000,4585.000000,4410.000000,4480.000000,3712.052979,525400
2015-10-23,4500.000000,4550.000000,4490.000000,4500.000000,3728.624268,457800
2015-10-26,4560.000000,4650.000000,4500.000000,4600.000000,3811.482910,555700
2015-10-27,4630.000000,4630.000000,4510.000000,4540.000000,3761.767578,2857100
2015-10-28,4560.000000,4570.000000,4420.000000,4540.000000,3761.767578,482400
2015-10-29,4540.000000,4560.000000,4425.000000,4500.000000,3728.624268,4351200
2015-10-30,4490.000000,4490.000000,4260.000000,4300.000000,3562.907715,1852100
2015-11-02,4270.000000,4300.000000,4150.000000,4170.000000,3455.191895,1462100
2015-11-03,4220.000000,4220.000000,3975.000000,4005.000000,3318.475586,1823700
2015-11-04,4055.000000,4055.000000,3900.000000,4000.000000,3314.332764,4970400
2015-11-05,4050.000000,4050.000000,3990.000000,4000.000000,3314.332764,2432900
2015-11-06,4020.000000,4115.000000,4020.000000,4025.000000,3335.047363,1915900
2015-11-09,4075.000000,4110.000000,4000.000000,4060.000000,3364.047852,1711100
2015-11-10,4050.000000,4050.000000,3925.000000,3990.000000,3306.046875,1066500
2015-11-11,3910.000000,3910.000000,3755.000000,3850.000000,3190.045166,1524600
2015-11-12,3910.000000,3910.000000,3775.000000,3850.000000,3190.045166,611400
2015-11-13,3800.000000,3850.000000,3730.000000,3815.000000,3161.045166,1020500
2015-11-16,3815.000000,3820.000000,3760.000000,3795.000000,3144.473145,778000
2015-11-17,3845.000000,3845.000000,3795.000000,3820.000000,3165.187988,1507700
2015-11-18,3850.000000,3890.000000,3800.000000,3840.000000,3181.759521,917500
2015-11-19,3875.000000,3910.000000,3675.000000,3675.000000,3045.043213,1369600
2015-11-20,3780.000000,3850.000000,3755.000000,3815.000000,3161.045166,1761400
2015-11-23,3850.000000,3870.000000,3740.000000,3800.000000,3148.616211,1124400
2015-11-24,3800.000000,3830.000000,3735.000000,3800.000000,3148.616211,1550800
2015-11-25,3850.000000,3850.000000,3715.000000,3750.000000,3107.187012,965900
2015-11-26,3750.000000,3750.000000,3570.000000,3600.000000,2982.899658,1495900
2015-11-27,3630.000000,3630.000000,3550.000000,3570.000000,2958.042236,916700
2015-11-30,3570.000000,3600.000000,3495.000000,3550.000000,2941.470215,2473300
2015-12-01,3550.000000,3580.000000,3505.000000,3550.000000,2941.470215,1528100
2015-12-02,3520.000000,3565.000000,3440.000000,3490.000000,2891.755371,2271100
2015-12-03,3490.000000,3490.000000,3405.000000,3410.000000,2825.468994,1853400
2015-12-04,3400.000000,3450.000000,3315.000000,3340.000000,2767.467529,1403300
2015-12-07,3355.000000,3450.000000,3345.000000,3395.000000,2813.039795,1216500
2015-12-08,3360.000000,3360.000000,3275.000000,3305.000000,2738.467773,1259200
2015-12-09,3305.000000,3305.000000,3305.000000,3305.000000,2738.467773,0
2015-12-10,3285.000000,3285.000000,3175.000000,3210.000000,2659.751953,1072300
2015-12-11,3200.000000,3200.000000,3120.000000,3170.000000,2626.608887,1446400
2015-12-14,3120.000000,3240.000000,3045.000000,3150.000000,2610.036865,1261800
2015-12-15,3200.000000,3250.000000,3125.000000,3200.000000,2651.466309,589700
2015-12-16,3180.000000,3350.000000,3155.000000,3250.000000,2692.895508,494800
2015-12-17,3250.000000,3400.000000,3245.000000,3300.000000,2734.324463,1009900
2015-12-18,3250.000000,3250.000000,3190.000000,3200.000000,2651.466309,954600
2015-12-21,3200.000000,3260.000000,3160.000000,3250.000000,2692.895508,662200
2015-12-22,3250.000000,3805.000000,3250.000000,3440.000000,2850.326172,189700
2015-12-23,3500.000000,3620.000000,3375.000000,3620.000000,2999.471436,313600
2015-12-28,3620.000000,4190.000000,3530.000000,4190.000000,3471.763184,460400
2015-12-29,4150.000000,4150.000000,3930.000000,3960.000000,3281.189453,1327500
2015-12-30,4010.000000,4060.000000,3930.000000,4000.000000,3314.332764,2422600
2016-01-04,4010.000000,4010.000000,3830.000000,4000.000000,3314.332764,199100
2016-01-05,3950.000000,3955.000000,3900.000000,3945.000000,3268.760498,265200
2016-01-06,3890.000000,3900.000000,3810.000000,3900.000000,3231.474609,234300
2016-01-07,3900.000000,3900.000000,3705.000000,3885.000000,3219.045654,152000
2016-01-08,3940.000000,4000.000000,3720.000000,3900.000000,3231.474609,1052600
2016-01-11,3850.000000,3925.000000,3730.000000,3800.000000,3148.616211,1042900
2016-01-12,3700.000000,3800.000000,3650.000000,3800.000000,3148.616211,882500
2016-01-13,3800.000000,3800.000000,3670.000000,3750.000000,3107.187012,433100
2016-01-14,3725.000000,3800.000000,3575.000000,3600.000000,2982.899658,1022600
2016-01-15,3600.000000,3600.000000,3415.000000,3500.000000,2900.041260,1172500
2016-01-18,3500.000000,3500.000000,3415.000000,3500.000000,2900.041260,770800
2016-01-19,3495.000000,3500.000000,3445.000000,3495.000000,2895.898193,555700
2016-01-20,3495.000000,3495.000000,3215.000000,3300.000000,2734.324463,2021000
2016-01-21,3300.000000,3300.000000,3235.000000,3280.000000,2717.752930,871000
2016-01-22,3350.000000,3350.000000,3290.000000,3300.000000,2734.324463,2892700
2016-01-25,3300.000000,3300.000000,3255.000000,3300.000000,2734.324463,644400
2016-01-26,3250.000000,3300.000000,3250.000000,3280.000000,2717.752930,720900
2016-01-27,3300.000000,3300.000000,3290.000000,3300.000000,2734.324463,743500
2016-01-28,3300.000000,3300.000000,3280.000000,3300.000000,2734.324463,1048800
2016-01-29,3300.000000,3300.000000,3275.000000,3290.000000,2726.038818,2105100
2016-02-01,3275.000000,3305.000000,3275.000000,3295.000000,2730.181641,1318600
2016-02-02,3290.000000,3290.000000,3250.000000,3250.000000,2692.895508,1817200
2016-02-03,3250.000000,3250.000000,3220.000000,3250.000000,2692.895508,1992100
2016-02-04,3225.000000,3250.000000,3225.000000,3240.000000,2684.609375,1288100
2016-02-05,3250.000000,3250.000000,3225.000000,3235.000000,2680.466553,1361700
2016-02-09,3240.000000,3240.000000,3220.000000,3230.000000,2676.323730,1132800
2016-02-10,3230.000000,3235.000000,3200.000000,3220.000000,2668.037842,1809100
2016-02-11,3220.000000,3220.000000,3135.000000,3190.000000,2643.180420,2507100
2016-02-12,3190.000000,3190.000000,3130.000000,3150.000000,2610.036865,767000
2016-02-15,3150.000000,3150.000000,2875.000000,2920.000000,2419.462891,2542300
2016-02-16,2920.000000,3100.000000,2875.000000,3000.000000,2485.749512,7419600
2016-02-17,3000.000000,3355.000000,2995.000000,3355.000000,2779.896729,4098200
2016-02-18,3355.000000,3475.000000,3355.000000,3475.000000,2879.326660,905000
2016-02-19,3475.000000,3550.000000,3250.000000,3500.000000,2900.041260,867900
2016-02-22,3495.000000,3540.000000,3410.000000,3500.000000,2900.041260,408600
2016-02-23,3500.000000,3550.000000,3495.000000,3550.000000,2941.470215,375500
2016-02-24,3505.000000,3505.000000,3500.000000,3500.000000,2900.041260,254200
2016-02-25,3500.000000,3500.000000,3440.000000,3490.000000,2891.755371,439600
2016-02-26,3500.000000,3740.000000,3500.000000,3680.000000,3049.186035,628000
2016-02-29,3625.000000,3630.000000,3500.000000,3630.000000,3007.757080,272800
2016-03-01,3625.000000,3725.000000,3575.000000,3715.000000,3078.186523,75100
2016-03-02,3715.000000,3775.000000,3710.000000,3730.000000,3090.615234,260400
2016-03-03,3730.000000,3835.000000,3730.000000,3835.000000,3177.616699,275300
2016-03-04,3835.000000,3990.000000,3810.000000,3950.000000,3272.903564,560200
2016-03-07,3950.000000,4000.000000,3940.000000,3950.000000,3272.903564,249800
2016-03-08,3995.000000,4000.000000,3950.000000,3960.000000,3281.189453,218600
2016-03-10,3965.000000,4150.000000,3960.000000,3975.000000,3293.618164,317200
2016-03-11,null,null,null,null,null,null
2016-03-14,null,null,null,null,null,null
2016-03-15,3940.000000,3940.000000,3875.000000,3900.000000,3231.474609,823200
2016-03-16,3850.000000,3850.000000,3800.000000,3845.000000,3185.902588,708800
2016-03-17,3845.000000,3975.000000,3845.000000,3960.000000,3281.189453,303500
2016-03-18,3900.000000,4075.000000,3840.000000,4075.000000,3376.476318,735100
2016-03-21,4050.000000,4050.000000,3905.000000,3945.000000,3268.760498,804400
2016-03-22,3945.000000,3960.000000,3810.000000,3945.000000,3268.760498,758700
2016-03-23,3900.000000,3945.000000,3825.000000,3940.000000,3264.617920,341700
2016-03-24,3940.000000,3945.000000,3910.000000,3945.000000,3268.760498,334800
2016-03-28,3945.000000,3950.000000,3810.000000,3945.000000,3268.760498,175500
2016-03-29,3895.000000,3960.000000,3830.000000,3945.000000,3268.760498,241200
2016-03-30,3945.000000,4200.000000,3900.000000,4135.000000,3426.191650,866800
2016-03-31,4135.000000,4135.000000,4020.000000,4105.000000,3401.333740,627000
2016-04-01,4025.000000,4095.000000,3990.000000,4035.000000,3343.333252,253900
2016-04-04,3980.000000,4200.000000,3980.000000,3990.000000,3306.046875,2345700
